#,PLAYER,TEAM,GP,G,A,TP,PPG,PIM,Plus/Minus,contract
1,Hunter Shinkaruk(C/W),Medicine Hat Tigers,66,49,42,91,1.38,38,17,1
2,Brenden Kichton(D),Spokane Chiefs,71,17,57,74,1.04,49,24,1
3,JC Lipon(RW/C),Kamloops Blazers,69,19,46,65,0.94,111,23,1
4,Sam Reinhart(C/RW),Kootenay Ice,67,28,34,62,0.93,2,16,1
5,Ryan Pulock(D),Brandon Wheat Kings,71,19,41,60,0.85,20,33,1
6,Lukas Sutter(C),Saskatoon Blades,70,28,31,59,0.84,165,15,1
7,Eric Roy(D),Brandon Wheat Kings,69,11,42,53,0.77,55,-1,1
8,Myles Bell(LW/RW),Kelowna Rockets,54,15,26,41,0.76,55,-18,1
9,Josh Morrissey(D),Prince Albert Raiders,68,10,28,38,0.56,60,-2,1
10,Morgan Klimchuk(LW),Regina Pats,67,18,18,36,0.54,27,3,1
11,Nic Petan(C/LW),Portland Winterhawks,61,14,21,35,0.57,22,7,1
12,Shea Theodore(D),Seattle Thunderbirds,69,4,31,35,0.51,30,-36,1
13,Curtis Lazar(C/RW),Edmonton Oil Kings,63,20,11,31,0.49,56,15,1
14,Chase De Leo(C/LW),Portland Winterhawks,69,14,16,30,0.43,25,12,1
15,Greg Chase(C/RW),Calgary Hitmen,60,6,22,28,0.47,41,2,1
16,Madison Bowey(D),Kelowna Rockets,57,8,13,21,0.37,39,3,1
17,Cole Ully(LW/RW),Kamloops Blazers,55,9,11,20,0.36,2,7,1
18,Jackson Houck(RW),Vancouver Giants,53,8,12,20,0.38,39,15,1
19,Austin Carroll(RW/LW),Victoria Royals,62,8,12,20,0.32,80,-12,1
20,Tyrell Goulbourne(LW/C),Kelowna Rockets,63,6,8,14,0.22,109,-8,1
21,Jaedon Descheneau(RW/C),Kootenay Ice,54,3,11,14,0.26,24,-7,1
22,Dillon Heatherington(D),Swift Current Broncos,57,2,8,10,0.18,63,2,1
23,Kyle Burroughs(D),Regina Pats,55,2,6,8,0.15,54,7,1
24,Reid Duke(C/RW),Lethbridge Hurricanes,12,2,4,6,0.5,8,1,1
25,Jake Virtanen(RW),Calgary Hitmen,9,3,1,4,0.44,4,3,1
26,Mason Geertsen(D),Edmonton Oil Kings,34,0,3,3,0.09,70,5,1
27,Tyler Lewington(D),Medicine Hat Tigers,44,0,3,3,0.07,46,7,1
28,Conner Bleackley(C),Red Deer Rebels,16,2,0,2,0.13,6,-5,1
29,Keegan Kanzig(D),Victoria Royals,63,0,2,2,0.03,66,-17,1
30,Brayden Point(C),Moose Jaw Warriors,5,1,0,1,0.2,0,2,1
31,Justin Kirkland(LW/RW),Kelowna Rockets,6,0,1,1,0.17,0,0,1
32,Brandon Baddock(LW),Edmonton Oil Kings,1,0,0,0,0,0,0,1
33,Keegan Iverson(RW/C),Portland Winterhawks,1,0,0,0,0,0,0,1
34,Colby Williams(D),Regina Pats,1,0,0,0,0,2,0,1
35,Dominic Turgeon(C),Portland Winterhawks,1,0,0,0,0,0,0,1
36,Tanner Faith(D),Kootenay Ice,1,0,0,0,0,0,0,1
37,Ben Betker(D),Portland Winterhawks,1,0,0,0,0,0,1,1
38,Ryan Pilon(D),Lethbridge Hurricanes,2,0,0,0,0,0,-4,1
39,Brett Lernout(D),Saskatoon Blades,2,0,0,0,0,0,-2,1
40,Brycen Martin(D),Swift Current Broncos,3,0,0,0,0,0,-3,1
41,Haydn Fleury(D),Red Deer Rebels,4,0,0,0,0,0,1,1
42,Nelson Nogier(D),Saskatoon Blades,4,0,0,0,0,0,-4,1
43,Marc McNulty(D),Prince George Cougars,21,0,0,0,0,8,-6,1
